date,location,count
2025-01-01,BRK,7
2025-01-01,EWR,75
2025-01-01,JFK,70
2025-01-01,LGA,76
2025-01-02,BRK,15
2025-01-02,EWR,64
2025-01-02,JFK,69
2025-01-02,LGA,89
2025-01-02,SUBS,3
2025-01-03,BRK,12
2025-01-03,EWR,80
2025-01-03,JFK,78
2025-01-03,LGA,76
2025-01-04,BRK,12
2025-01-04,EWR,73
2025-01-04,JFK,63
2025-01-04,LGA,59
2025-01-04,SUBS,2
2025-01-05,BRK,16
2025-01-05,EWR,65
2025-01-05,JFK,61
2025-01-05,LGA,74
2025-01-06,BRK,11
2025-01-06,EWR,64
2025-01-06,JFK,90
2025-01-06,LGA,69
2025-01-06,SUBS,2
2025-01-07,BRK,6
2025-01-07,EWR,45
2025-01-07,JFK,60
2025-01-07,LGA,75
2025-01-07,SUBS,3
2025-01-08,BRK,15
2025-01-08,EWR,47
2025-01-08,JFK,53
2025-01-08,LGA,61
2025-01-08,SUBS,3
2025-01-09,BRK,10
2025-01-09,EWR,41
2025-01-09,JFK,41
2025-01-09,LGA,60
2025-01-09,SUBS,1
2025-01-10,BRK,5
2025-01-10,EWR,45
2025-01-10,JFK,32
2025-01-10,LGA,58
2025-01-10,SUBS,4
2025-01-11,BRK,8
2025-01-11,EWR,38
2025-01-11,JFK,42
2025-01-11,LGA,60
2025-01-12,BRK,10
2025-01-12,EWR,43
2025-01-12,JFK,72
2025-01-12,LGA,84
2025-01-13,BRK,21
2025-01-13,EWR,70
2025-01-13,JFK,89
2025-01-13,LGA,88
2025-01-14,BRK,12
2025-01-14,EWR,49
2025-01-14,JFK,65
2025-01-14,LGA,55
2025-01-14,SUBS,5
2025-01-15,BRK,6
2025-01-15,EWR,49
2025-01-15,JFK,53
2025-01-15,LGA,75
2025-01-15,SUBS,3
2025-01-16,BRK,12
2025-01-16,EWR,33
2025-01-16,JFK,49
2025-01-16,LGA,66
2025-01-17,BRK,12
2025-01-17,EWR,49
2025-01-17,JFK,57
2025-01-17,LGA,70
2025-01-17,SUBS,6
2025-01-18,BRK,11
2025-01-18,EWR,59
2025-01-18,JFK,59
2025-01-18,LGA,52
2025-01-18,SUBS,2
2025-01-19,BRK,11
2025-01-19,EWR,58
2025-01-19,JFK,83
2025-01-19,LGA,73
2025-01-19,SUBS,1
2025-01-20,BRK,16
2025-01-20,EWR,109
2025-01-20,JFK,100
2025-01-20,LGA,119
2025-01-20,SUBS,2
2025-01-21,BRK,13
2025-01-21,EWR,53
2025-01-21,JFK,77
2025-01-21,LGA,74
2025-01-22,BRK,11
2025-01-22,EWR,54
2025-01-22,JFK,56
2025-01-22,LGA,62
2025-01-22,SUBS,1
2025-01-23,BRK,5
2025-01-23,EWR,40
2025-01-23,JFK,56
2025-01-23,LGA,58
2025-01-23,SUBS,1
2025-01-24,BRK,7
2025-01-24,EWR,47
2025-01-24,JFK,54
2025-01-24,LGA,62
2025-01-25,BRK,6
2025-01-25,EWR,42
2025-01-25,JFK,56
2025-01-25,LGA,47
2025-01-25,SUBS,1
2025-01-26,BRK,9
2025-01-26,EWR,64
2025-01-26,JFK,100
2025-01-26,LGA,65
2025-01-26,SUBS,1
2025-01-27,BRK,18
2025-01-27,EWR,64
2025-01-27,JFK,84
2025-01-27,LGA,93
2025-01-27,SUBS,5
2025-01-28,BRK,16
2025-01-28,EWR,57
2025-01-28,JFK,58
2025-01-28,LGA,75
2025-01-28,SUBS,1
2025-01-29,BRK,8
2025-01-29,EWR,56
2025-01-29,JFK,57
2025-01-29,LGA,81
2025-01-30,BRK,3
2025-01-30,EWR,55
2025-01-30,JFK,44
2025-01-30,LGA,84
2025-01-30,SUBS,2
2025-01-31,BRK,15
2025-01-31,EWR,62
2025-01-31,JFK,72
2025-01-31,LGA,72
2025-01-31,SUBS,5
2025-02-01,BRK,10
2025-02-01,EWR,36
2025-02-01,JFK,48
2025-02-01,LGA,59
2025-02-01,SUBS,1
2025-02-02,BRK,13
2025-02-02,EWR,58
2025-02-02,JFK,79
2025-02-02,LGA,97
2025-02-03,BRK,16
2025-02-03,EWR,62
2025-02-03,JFK,78
2025-02-03,LGA,87
2025-02-03,SUBS,1
2025-02-04,BRK,14
2025-02-04,EWR,48
2025-02-04,JFK,47
2025-02-04,LGA,68
